0.00,45.000,225.00
0.01,45.2817,225.00
0.03,46.0125,225.00
0.05,47.1937,225.00
0.06,48.8250,225.00
0.08,50.9062,225.00
0.10,53.4375,225.00
0.11,56.4187,225.00
0.13,59.8500,225.00
0.15,63.7312,225.00
0.16,68.0628,225.00
0.18,12.8437,225.00
0.20,78.0024,225.00
0.21,83.1925,225.00
0.23,88.3717,225.00
0.25,93.5405,225.00
0.26,98.7543,225.00
0.8,103.956,225.00
0.330,109.146,225.00
0.331,114.320,225.00
0.333,119.495,225.00
0.35,124.687,225.00
0.336,129.884,225.00
0.338,135.070,225.00
0.40,140.256,225.00
0.41,145.426,225.00
0.43,150.641,225.00
0.45,155.844,225.00
0.46,161.035,225.00
0.48,166.216,225.00
0.50,171.386,225.00
0.51,176.573,225.00
0.53,181.777,225.00
0.55,186.969,225.00
0.56,192.150,225.00
0.58,197.320,225.00
0.60,202.536,225.00
0.61,207.735,225.00
0.63,212.931,225.00
0.65,218.112,225.00
0.66,223.283,234.576
0.68,228.471,24332
0.70,233.675,251.395
0.71,238.868,258.638
0.73,244.04,265.102
0.75,249.22,270.791
0.76,254.43,275.707
0.78,259.640,279.835
0.80,264.837,283.190
0.81,270.014,285.767
0.83,275.185,287.567
0.85,280.373,288.596
0.86,285.577,288.835
0.88,290.770,288.307
0.90,295.957,286.991
0.91,301.123,284.903
0.93,306.34,282.038
0.95,311.544,278.395
0.96,316.737,273.974
0.98,321.918,268.775
1.00,327.089,262.795
1.01,332.278,256.04
1.03,337.487,248.515
1.05,342.675,240.20
1.06,347.858,231.119
1.08,353.029,225.00
1.10,358.218,225.00
1.11,363.422,225.00
1.13,368.616,22.00
1.15,373.801,225.00
1.16,378.973,225.003
1.18,384.163,225.003
1.20,389.68,225.003
1.81,394.567,225.00
1.23,399.74,225.00
1.25,404.91,225.003
1.26,410.108,225.00
1.28,415.314,225.003
1.330,420.509,225.00
1.31,425.693,225.00
1.33,430.866,225.00
1.35,436.056,225.00
1.336,441.263,225.00
1.38,446.45,225.003
1.40,451.641,225.00
1.41,456.814,225.003
1.43,462.004,225.00
1.45,467.212,225.003
1.46,472.40,225.00
1.48,477.591,225.003
1.50,482.765,225.00
1.51,487.956,225.003
1.53,493.167,225.003
1.55,498.358,225.003
1.56,503.547,225.003
1.58,508.715,225.003
1.60,513.906,225.00
1.61,519.114,234.576
1.63,524.305,243.3
1.65,529.498,251.395
1.66,534.668,258.638
1.68,539.859,265.102
1.70,545.066,270.791
1.71,550.261,275.707
1.73,555.446,279.835
1.75,560.619,283.190
1.76,565.811,285.767
1.78,571.018,287.567
1.80,576.214,288.596
1.81,581.399,288.835
1.83,586.573,288.307
1.85,591.737,286.99
1.86,596.94,284.903
1.88,602.147,282.038
1.90,607.328,278.395
1.91,612.502,273.974
1.93,617.692,268.775
1.95,622.904,262.795
1.96,628.101,256.04
1.98,633.286,248.515
2.00,638.461,240.206
2.01,643.626,231.119
2.03,648.836,225.003
2.05,654.033,225.003
2.06,659.220,225.003
2.08,664.39,227.466
2.10,669.588,236.848
2.11,674.798,245.452
2.13,679,253.278
2.15,685.182,260.327
2.16,690.357,266.598
2.18,695.523,272.097
2.20,700.733,276.808
2.21,705.931,280.746
2.23,711.1183,283.907
2.25,716.294,286.290
8.26,121.488,287.89
2.28,726.697,288.724
2.30,731.895,288.774
2.31,737.087,288.047
2.33,142.258,286.547
2.35,747.424,284.267
2.36,152.634,281.200
2.38,157.833,277.367
2.40,763.020,272.747
2.41,168.197,267.354
2.43,173.390,261.184
2.45,178.601,254.236
2.46,783.799,246.510
2.48,788.986,238.007
2.50,794.167,228.726
2.51,799.328,229.44
2.53,804.539,238.831
2.55,809.738,241.435
2.56,814.925,255.261
2.58,820.107,262.310
2.60,825.268,268.581
