0,45,225
0,45,225
0.5,171,225
1,327,278
1.5,483,259
2,638,226
2.5,794,237
3,950,271
3.5,1106,225
4,1261,265
4.5,1417,286
5,1573,319
5.5,1728,292
6,1884,285
6.5,2040,287
7,2195,254
7.5,2351,271
8,2507,285
8.5,2565,285
9,2712,285
9.5,2867,345
10,3023,331
10.5,3179,305
11,3334,311
11.5,3393,397
12,3335,506
12.5,3490,525
13,3646,525
13.5,3802,525
14,3957,549
14.5,4113,563
15,4269,535
15.5,4424,525
16,4580,574
16.5,4736,525
17,4892,525
17.5,5037,525
18,5086,525
18.5,5242,589
19,5394,633
19.5,5550,614
20,5712,633
20.5,5874,711
21,6043,558
21.5,6214,609
22,6262,723
22.5,6416,705
23,6572,705
23.5,6727,705
24,6883,705
24.5,7039,705
25,7194,705
25.5,7350,705
26,7506,705
26.5,7661,705
27,7817,705
27.5,7973,705
28,8129,705
28.5,8190,709
29,8190,709
29.5,8190,708
30,8190,706
30.5,8190,705
31,8190,705
31.5,8190,705
32,8190,705
32.5,8190,705
33,8190,705
33.5,8190,705
34,8190,705
34.5,8190,705
35,8190,705
35.5,8190,705
36,8190,705
36.5,8190,705
37,8190,705
37.5,8190,705
38,8190,705
38.5,8190,705
39,8190,705
39.5,8190,705
40,8190,705
40.5,8190,705
41,8190,705
41.5,8190,705
42,8190,705
42.5,8190,705
43,8190,705
43.5,8190,705
44,8190,705
44.5,8190,705
45,8190,705
45.5,8190,705
46,8190,705
46.5,8190,705
47,8167,705
47.5,8011,705
48,7907,705
48.5,8052,705
49,8208,758
49.5,8364,732
50,8397,705
50.5,8679,705
51,8834,705
51.5,8990,705
52,9146,705
52.5,9302,705
53,9458,705
53.5,9614,760
54,9769,705
54.5,9924,705
55,10080,705
55.5,10185,705
56,10185,705
56.5,10185,705
57,10097,705
57.5,9977,735
58,10114,705
58.5,10130,760
59,9975,710
59.5,10099,705
60,10145,768
60.5,10020,705
61,10082,705
61.5,10081,716
62,10081,676
62.5,10081,272
63,10081,105
63.5,10081,105
64,10081,105
64.5,10081,105
65,10081,105
